Wall time,Step,Value
1568145422.4161649,738,0.4449999928474426
1568146747.9146159,1476,0.5120000243186951
1568148015.9399703,2214,0.515999972820282
1568149282.7307117,2952,0.5709999799728394
1568150565.8494103,3690,0.5690000057220459
1568151844.0414624,4428,0.5770000219345093
1568153116.3898718,5166,0.5699999928474426
1568154403.335381,5904,0.5789999961853027
1568155683.016791,6642,0.5759999752044678
1568156949.7607455,7380,0.5929999947547913
1568158226.228818,8118,0.5770000219345093
1568159515.0725064,8856,0.5899999737739563
1568160778.4245572,9594,0.5860000252723694
1568161984.6793687,10332,0.5929999947547913
1568163243.5921726,11070,0.5740000009536743
1568164515.989818,11808,0.5879999995231628
1568165777.7054336,12546,0.5839999914169312
1568167044.6105223,13284,0.578000009059906
1568168272.6049554,14022,0.5839999914169312
1568169503.5966907,14760,0.5899999737739563
1568170772.4616354,15498,0.6110000014305115
1568172030.6007159,16236,0.6069999933242798
1568173294.4772944,16974,0.6050000190734863
1568174542.9064019,17712,0.6019999980926514
1568175754.8240955,18450,0.5989999771118164
1568177013.4818263,19188,0.5989999771118164
1568178272.10578,19926,0.5989999771118164
1568179529.1898665,20664,0.5989999771118164
1568180789.9801922,21402,0.6000000238418579
1568181993.1880734,22140,0.6019999980926514
