Wall time,Step,Value
1568145886.3512049,738,0.4429999887943268
1568147442.2553802,1476,0.5220000147819519
1568148989.6974847,2214,0.5370000004768372
1568150550.3111386,2952,0.593999981880188
1568152131.9939303,3690,0.5960000157356262
1568153697.42213,4428,0.6079999804496765
1568155268.7015827,5166,0.5830000042915344
1568156827.133964,5904,0.6150000095367432
1568158404.1177828,6642,0.6039999723434448
1568159980.0167353,7380,0.6100000143051147
1568161493.5955746,8118,0.5920000076293945
1568162985.664859,8856,0.5950000286102295
1568164522.9621658,9594,0.5870000123977661
1568166060.2409575,10332,0.6050000190734863
1568167605.512101,11070,0.6000000238418579
1568169081.3193405,11808,0.5979999899864197
1568170614.5420034,12546,0.5849999785423279
1568172153.9558103,13284,0.5910000205039978
1568173691.0913203,14022,0.5899999737739563
1568175180.0182986,14760,0.5910000205039978
1568176709.5094578,15498,0.593999981880188
1568178237.2708282,16236,0.593999981880188
1568179758.968384,16974,0.6029999852180481
1568181277.3347952,17712,0.6010000109672546
1568182754.6840935,18450,0.597000002861023
1568184295.342185,19188,0.5960000157356262
1568185835.3219323,19926,0.6000000238418579
1568187367.5577254,20664,0.597000002861023
1568188833.7056515,21402,0.5989999771118164
1568190356.3535457,22140,0.5979999899864197
