Wall time,Step,Value
1568004824.9379742,738,0.36000001430511475
1568005911.6557825,1476,0.44200000166893005
1568007004.4799066,2214,0.4320000112056732
1568008091.5746436,2952,0.48899999260902405
1568009174.8925824,3690,0.492000013589859
1568010256.5656343,4428,0.46799999475479126
1568011339.262171,5166,0.4880000054836273
1568012418.397788,5904,0.5090000033378601
1568013501.8780274,6642,0.48500001430511475
1568014586.1155818,7380,0.5070000290870667
1568015669.507564,8118,0.5040000081062317
1568016755.2753763,8856,0.4880000054836273
1568017835.9219935,9594,0.515999972820282
1568018967.91381,10332,0.5099999904632568
1568020084.6041539,11070,0.4480000138282776
1568021170.1992347,11808,0.4869999885559082
1568022261.606311,12546,0.5019999742507935
1568023344.6071966,13284,0.527999997138977
1568024424.5614192,14022,0.5019999742507935
1568025508.3710268,14760,0.515999972820282
1568026595.1919556,15498,0.5260000228881836
1568027675.589626,16236,0.5220000147819519
1568028774.7091131,16974,0.5239999890327454
1568029848.4447184,17712,0.5230000019073486
1568030924.9853866,18450,0.5230000019073486
1568032001.5233235,19188,0.5199999809265137
1568033083.4000304,19926,0.5180000066757202
1568034163.860738,20664,0.5139999985694885
1568035257.6437523,21402,0.515999972820282
1568036346.7834365,22140,0.5180000066757202
