Wall time,Step,Value
1568145886.3513374,738,0.3149999976158142
1568147442.2555265,1476,0.41499999165534973
1568148989.697649,2214,0.43299999833106995
1568150550.3112867,2952,0.5009999871253967
1568152131.9940674,3690,0.5099999904632568
1568153697.4223385,4428,0.5130000114440918
1568155268.7017226,5166,0.4790000021457672
1568156827.1341395,5904,0.5019999742507935
1568158404.1179187,6642,0.5180000066757202
1568159980.0169163,7380,0.5220000147819519
1568161493.595771,8118,0.49000000953674316
1568162985.6650207,8856,0.5180000066757202
1568164522.962312,9594,0.5070000290870667
1568166060.2411005,10332,0.5210000276565552
1568167605.5122366,11070,0.5139999985694885
1568169081.3194926,11808,0.5230000019073486
1568170614.5421576,12546,0.503000020980835
1568172153.9559484,13284,0.5199999809265137
1568173691.0914614,14022,0.5019999742507935
1568175180.0184364,14760,0.49000000953674316
1568176709.5096583,15498,0.5019999742507935
1568178237.2709749,16236,0.503000020980835
1568179758.9685297,16974,0.5059999823570251
1568181277.3349369,17712,0.5090000033378601
1568182754.6843987,18450,0.5059999823570251
1568184295.3425255,19188,0.503000020980835
1568185835.3221362,19926,0.5059999823570251
1568187367.557871,20664,0.5059999823570251
1568188833.7057898,21402,0.5059999823570251
1568190356.3536916,22140,0.5059999823570251
