Wall time,Step,Value
1568055330.0280635,738,0.2529999911785126
1568055733.0150251,1476,0.27300000190734863
1568056134.2051175,2214,0.3179999887943268
1568056537.9391608,2952,0.34599998593330383
1568056937.4161937,3690,0.335999995470047
1568057336.7001777,4428,0.3959999978542328
1568057768.397936,5166,0.4009999930858612
1568058434.2015579,5904,0.4480000138282776
1568058944.4141905,6642,0.414000004529953
1568059620.6260507,7380,0.3889999985694885
1568060294.775868,8118,0.4690000116825104
1568060968.8425684,8856,0.4399999976158142
1568061639.407819,9594,0.4519999921321869
1568062312.929254,10332,0.46399998664855957
1568062986.2225459,11070,0.44600000977516174
1568063654.3333585,11808,0.4560000002384186
1568064324.375467,12546,0.45100000500679016
1568064995.7474985,13284,0.4410000145435333
1568065664.553063,14022,0.4490000009536743
1568066335.8933363,14760,0.460999995470047
1568067008.4734452,15498,0.4659999907016754
1568067681.0924098,16236,0.4620000123977661
1568068354.746104,16974,0.460999995470047
1568069023.0390654,17712,0.460999995470047
1568069694.1105382,18450,0.4620000123977661
1568070361.9724698,19188,0.4620000123977661
1568071032.9347734,19926,0.45899999141693115
1568071700.3003523,20664,0.460999995470047
1568072370.4279556,21402,0.45899999141693115
1568073038.9753773,22140,0.460999995470047
