Wall time,Step,Value
1568145422.4163816,738,0.34599998593330383
1568146747.9147763,1476,0.39500001072883606
1568148015.9401898,2214,0.43700000643730164
1568149282.7310326,2952,0.5
1568150565.84955,3690,0.49000000953674316
1568151844.0416136,4428,0.47600001096725464
1568153116.390023,5166,0.4650000035762787
1568154403.3356378,5904,0.48899999260902405
1568155683.0169892,6642,0.5019999742507935
1568156949.760941,7380,0.5130000114440918
1568158226.2290072,8118,0.49900001287460327
1568159515.07265,8856,0.5
1568160778.4246924,9594,0.5059999823570251
1568161984.6795368,10332,0.5070000290870667
1568163243.5923028,11070,0.49300000071525574
1568164515.9899588,11808,0.5040000081062317
1568165777.7055726,12546,0.49399998784065247
1568167044.6107814,13284,0.4729999899864197
1568168272.605103,14022,0.5199999809265137
1568169503.5968468,14760,0.49000000953674316
1568170772.461776,15498,0.5099999904632568
1568172030.6008592,16236,0.5080000162124634
1568173294.4774818,16974,0.503000020980835
1568174542.9065578,17712,0.5070000290870667
1568175754.824235,18450,0.5009999871253967
1568177013.4820094,19188,0.503000020980835
1568178272.105919,19926,0.5040000081062317
1568179529.1900198,20664,0.5049999952316284
1568180789.9803395,21402,0.5049999952316284
1568181993.1882737,22140,0.5059999823570251
