Wall time,Step,Value
1568090832.1765985,738,0.492000013589859
1568092041.538276,1476,0.5680000185966492
1568093250.2478092,2214,0.5699999928474426
1568094457.2184465,2952,0.6729999780654907
1568095661.4456112,3690,0.699999988079071
1568096867.0002387,4428,0.6980000138282776
1568098072.0180988,5166,0.6949999928474426
1568099285.0618594,5904,0.6930000185966492
1568100584.66441,6642,0.7139999866485596
1568101786.9243565,7380,0.7200000286102295
1568102992.1793342,8118,0.6970000267028809
1568104197.9508412,8856,0.6949999928474426
1568105398.9878247,9594,0.6830000281333923
1568106600.9001794,10332,0.6850000023841858
1568107805.6817634,11070,0.6769999861717224
1568109024.196932,11808,0.6769999861717224
1568110230.4595666,12546,0.6899999976158142
1568111441.3689682,13284,0.6790000200271606
1568112650.831004,14022,0.6759999990463257
1568113861.094631,14760,0.6759999990463257
1568115072.3649218,15498,0.6959999799728394
1568116293.313533,16236,0.6949999928474426
1568117510.6587248,16974,0.6919999718666077
1568118721.2912502,17712,0.6899999976158142
1568119933.9249175,18450,0.6859999895095825
1568121141.5925992,19188,0.6909999847412109
1568122346.0332274,19926,0.6899999976158142
1568123553.9048018,20664,0.6899999976158142
1568124761.1768084,21402,0.6909999847412109
1568125972.5967584,22140,0.6880000233650208
