Wall time,Step,Value
1568145422.4164047,738,0.5239999890327454
1568146747.914801,1476,0.6230000257492065
1568148015.940212,2214,0.6119999885559082
1568149282.7310565,2952,0.6549999713897705
1568150565.849573,3690,0.6449999809265137
1568151844.0416367,4428,0.6869999766349792
1568153116.3900461,5166,0.675000011920929
1568154403.3356616,5904,0.6779999732971191
1568155683.017146,6642,0.6610000133514404
1568156949.7609704,7380,0.6869999766349792
1568158226.2290304,8118,0.6740000247955322
1568159515.0726724,8856,0.6819999814033508
1568160778.4247148,9594,0.671999990940094
1568161984.6795602,10332,0.6840000152587891
1568163243.5923254,11070,0.6650000214576721
1568164515.9899802,11808,0.6600000262260437
1568165777.7055955,12546,0.6790000200271606
1568167044.6108189,13284,0.6850000023841858
1568168272.6051261,14022,0.6499999761581421
1568169503.5968711,14760,0.6930000185966492
1568170772.4617987,15498,0.7009999752044678
1568172030.600881,16236,0.6970000267028809
1568173294.4775038,16974,0.6940000057220459
1568174542.90658,17712,0.6909999847412109
1568175754.8242571,18450,0.6869999766349792
1568177013.4820318,19188,0.6850000023841858
1568178272.1059408,19926,0.6880000233650208
1568179529.1900432,20664,0.6869999766349792
1568180789.980362,21402,0.6890000104904175
1568181993.1882977,22140,0.6899999976158142
