Wall time,Step,Value
1568055330.0280871,738,0.41499999165534973
1568055733.015048,1476,0.4519999921321869
1568056134.2051413,2214,0.5759999752044678
1568056537.939183,2952,0.6430000066757202
1568056937.416217,3690,0.628000020980835
1568057336.7002015,4428,0.6919999718666077
1568057768.397959,5166,0.6620000004768372
1568058434.2015831,5904,0.6830000281333923
1568058944.4142134,6642,0.6650000214576721
1568059620.6260736,7380,0.6299999952316284
1568060294.7758908,8118,0.7080000042915344
1568060968.8425984,8856,0.7009999752044678
1568061639.407841,9594,0.7080000042915344
1568062312.9292767,10332,0.7269999980926514
1568062986.222568,11070,0.7099999785423279
1568063654.3333805,11808,0.7170000076293945
1568064324.3754895,12546,0.703000009059906
1568064995.7475207,13284,0.6940000057220459
1568065664.5530846,14022,0.699999988079071
1568066335.8933575,14760,0.7260000109672546
1568067008.473467,15498,0.7279999852180481
1568067681.092432,16236,0.7250000238418579
1568068354.7461262,16974,0.7160000205039978
1568069023.039087,17712,0.7179999947547913
1568069694.110564,18450,0.7139999866485596
1568070361.9724922,19188,0.7170000076293945
1568071032.9347963,19926,0.7170000076293945
1568071700.3003745,20664,0.7160000205039978
1568072370.427978,21402,0.7160000205039978
1568073038.9754004,22140,0.7170000076293945
