Wall time,Step,Value
1568145886.3513596,738,0.5299999713897705
1568147442.2555485,1476,0.6209999918937683
1568148989.6976786,2214,0.6470000147819519
1568150550.3113105,2952,0.6880000233650208
1568152131.99409,3690,0.6830000281333923
1568153697.4223638,4428,0.7070000171661377
1568155268.7017455,5166,0.6949999928474426
1568156827.1341708,5904,0.7099999785423279
1568158404.1179407,6642,0.6949999928474426
1568159980.0169394,7380,0.6930000185966492
1568161493.5957944,8118,0.6919999718666077
1568162985.6650443,8856,0.6779999732971191
1568164522.9623349,9594,0.6740000247955322
1568166060.2411242,10332,0.6949999928474426
1568167605.5122595,11070,0.6890000104904175
1568169081.3195186,11808,0.6869999766349792
1568170614.5421832,12546,0.6779999732971191
1568172153.9559705,13284,0.6809999942779541
1568173691.0914838,14022,0.6790000200271606
1568175180.0184584,14760,0.6869999766349792
1568176709.5096815,15498,0.6869999766349792
1568178237.2709978,16236,0.6909999847412109
1568179758.968554,16974,0.7070000171661377
1568181277.3349593,17712,0.6970000267028809
1568182754.6852663,18450,0.6859999895095825
1568184295.3425646,19188,0.6899999976158142
1568185835.3221622,19926,0.6949999928474426
1568187367.557894,20664,0.6899999976158142
1568188833.7058122,21402,0.6949999928474426
1568190356.3537135,22140,0.6909999847412109
