Wall time,Step,Value
1568145886.3513827,738,0.7440000176429749
1568147442.2555714,1476,0.8600000143051147
1568148989.69771,2214,0.8539999723434448
1568150550.311345,2952,0.8700000047683716
1568152131.994116,3690,0.8610000014305115
1568153697.4223874,4428,0.8600000143051147
1568155268.7017682,5166,0.8510000109672546
1568156827.1342025,5904,0.871999979019165
1568158404.1179636,6642,0.8560000061988831
1568159980.0169628,7380,0.8730000257492065
1568161493.5958188,8118,0.8579999804496765
1568162985.6650705,8856,0.847000002861023
1568164522.9623585,9594,0.8560000061988831
1568166060.2411487,10332,0.824999988079071
1568167605.5122833,11070,0.8640000224113464
1568169081.319545,11808,0.8579999804496765
1568170614.542208,12546,0.8709999918937683
1568172153.9559941,13284,0.8740000128746033
1568173691.0915072,14022,0.8600000143051147
1568175180.0184817,14760,0.8659999966621399
1568176709.5097055,15498,0.8650000095367432
1568178237.2710211,16236,0.8619999885559082
1568179758.9685793,16974,0.8659999966621399
1568181277.334983,17712,0.8659999966621399
1568182754.6853902,18450,0.8690000176429749
1568184295.3426018,19188,0.8690000176429749
1568185835.3221896,19926,0.8650000095367432
1568187367.5579176,20664,0.8690000176429749
1568188833.7058344,21402,0.8690000176429749
1568190356.3537362,22140,0.8679999709129333
