Wall time,Step,Value
1568055330.028112,738,0.7459999918937683
1568055733.0150714,1476,0.8450000286102295
1568056134.2051651,2214,0.7720000147819519
1568056537.9392064,2952,0.8299999833106995
1568056937.4162421,3690,0.796999990940094
1568057336.7002256,4428,0.8050000071525574
1568057768.3979828,5166,0.859000027179718
1568058434.2016096,5904,0.8199999928474426
1568058944.4142363,6642,0.828000009059906
1568059620.6260972,7380,0.8410000205039978
1568060294.7759142,8118,0.8740000128746033
1568060968.8426218,8856,0.8240000009536743
1568061639.4078639,9594,0.8429999947547913
1568062312.9292996,10332,0.8560000061988831
1568062986.2225904,11070,0.8610000014305115
1568063654.3334043,11808,0.8510000109672546
1568064324.375512,12546,0.8420000076293945
1568064995.7475433,13284,0.8519999980926514
1568065664.5531116,14022,0.847000002861023
1568066335.89338,14760,0.8510000109672546
1568067008.4734898,15498,0.8849999904632568
1568067681.0924573,16236,0.859000027179718
1568068354.7461486,16974,0.8799999952316284
1568069023.0391095,17712,0.8830000162124634
1568069694.1105905,18450,0.8650000095367432
1568070361.972515,19188,0.8830000162124634
1568071032.9348192,19926,0.8830000162124634
1568071700.3003972,20664,0.8830000162124634
1568072370.4280016,21402,0.8830000162124634
1568073038.975424,22140,0.8830000162124634
