Wall time,Step,Value
1568055330.0280082,738,0.46799999475479126
1568055733.014969,1476,0.5109999775886536
1568056134.2050636,2214,0.6159999966621399
1568056537.9391088,2952,0.6880000233650208
1568056937.416138,3690,0.6539999842643738
1568057336.7001233,4428,0.7480000257492065
1568057768.3978827,5166,0.7440000176429749
1568058434.2014983,5904,0.765999972820282
1568058944.4141362,6642,0.7419999837875366
1568059620.6259952,7380,0.6930000185966492
1568060294.775815,8118,0.7910000085830688
1568060968.842516,8856,0.7879999876022339
1568061639.4077659,9594,0.7929999828338623
1568062312.929202,10332,0.8109999895095825
1568062986.2224936,11070,0.7950000166893005
1568063654.3333037,11808,0.8100000023841858
1568064324.3754134,12546,0.8029999732971191
1568064995.7474463,13284,0.7950000166893005
1568065664.5530114,14022,0.8169999718666077
1568066335.8932846,14760,0.8119999766349792
1568067008.4733877,15498,0.8149999976158142
1568067681.0923584,16236,0.8159999847412109
1568068354.7460535,16974,0.8159999847412109
1568069023.0390136,17712,0.8149999976158142
1568069694.1104789,18450,0.8169999718666077
1568070361.9724133,19188,0.8169999718666077
1568071032.934719,19926,0.8159999847412109
1568071700.3002977,20664,0.8159999847412109
1568072370.427902,21402,0.8159999847412109
1568073038.975324,22140,0.8159999847412109
