Wall time,Step,Value
1568090832.1765225,738,0.578000009059906
1568092041.5381978,1476,0.6830000281333923
1568093250.2477322,2214,0.6940000057220459
1568094457.2183695,2952,0.7480000257492065
1568095661.445535,3690,0.8270000219345093
1568096867.0001628,4428,0.8389999866485596
1568098072.0180247,5166,0.8289999961853027
1568099285.061784,5904,0.8330000042915344
1568100584.6643329,6642,0.8420000076293945
1568101786.924274,7380,0.8450000286102295
1568102992.17926,8118,0.8349999785423279
1568104197.950765,8856,0.8199999928474426
1568105398.9877486,9594,0.8289999961853027
1568106600.9001029,10332,0.8339999914169312
1568107805.6816883,11070,0.8140000104904175
1568109024.1968563,11808,0.8320000171661377
1568110230.4594889,12546,0.8069999814033508
1568111441.368892,13284,0.8270000219345093
1568112650.830926,14022,0.8230000138282776
1568113861.0945525,14760,0.8320000171661377
1568115072.3648462,15498,0.8259999752044678
1568116293.3134563,16236,0.8270000219345093
1568117510.6586504,16974,0.8270000219345093
1568118721.291174,17712,0.8270000219345093
1568119933.9248374,18450,0.824999988079071
1568121141.592523,19188,0.824999988079071
1568122346.0331526,19926,0.824999988079071
1568123553.9047253,20664,0.8270000219345093
1568124761.1767337,21402,0.8259999752044678
1568125972.5966823,22140,0.8240000009536743
