Wall time,Step,Value
1568145886.3512845,738,0.6110000014305115
1568147442.2554724,1476,0.7170000076293945
1568148989.697578,2214,0.7490000128746033
1568150550.31123,2952,0.8379999995231628
1568152131.9940128,3690,0.8190000057220459
1568153697.4222715,4428,0.8379999995231628
1568155268.7016668,5166,0.8019999861717224
1568156827.1340659,5904,0.8560000061988831
1568158404.1178653,6642,0.8389999866485596
1568159980.016858,7380,0.8489999771118164
1568161493.595715,8118,0.8209999799728394
1568162985.6649642,8856,0.843999981880188
1568164522.962258,9594,0.8199999928474426
1568166060.2410436,10332,0.8410000205039978
1568167605.5121822,11070,0.847000002861023
1568169081.3194327,11808,0.8389999866485596
1568170614.542097,12546,0.8130000233650208
1568172153.9558942,13284,0.8209999799728394
1568173691.0914092,14022,0.8230000138282776
1568175180.018383,14760,0.8309999704360962
1568176709.5096028,15498,0.8240000009536743
1568178237.2709205,16236,0.8270000219345093
1568179758.9684741,16974,0.8320000171661377
1568181277.334883,17712,0.8349999785423279
1568182754.6842961,18450,0.8309999704360962
1568184295.3424206,19188,0.8309999704360962
1568185835.3220735,19926,0.8330000042915344
1568187367.5578175,20664,0.8309999704360962
1568188833.7057383,21402,0.8330000042915344
1568190356.3536375,22140,0.8309999704360962
